run,draft_tokens,concurrency,prompt_tokens,rep,ttft_ms,e2e_ms,client_ms_per_token,prompt_n,cache_n,prompt_ms,predicted_n,predicted_ms,draft_n,draft_n_accepted
base,0,1,128,0,355.867,3202.655,22.416,128,0,353.148,128,2846.533,0,0
base,0,1,128,1,397.317,3188.266,21.976,128,0,395.05,128,2790.709,0,0
base,0,1,128,2,353.666,3115.898,21.75,128,0,351.395,128,2762.107,0,0
base,0,2,128,0,745.362,5718.616,39.159,128,0,742.794,128,4972.943,0,0
base,0,2,128,0,745.293,5718.483,39.159,128,0,742.625,128,4972.983,0,0
base,0,2,128,1,698.575,5657.409,39.046,128,0,693.024,128,4958.576,0,0
base,0,2,128,1,698.698,5657.556,39.046,128,0,693.212,128,4958.595,0,0
base,0,2,128,2,695.877,5656.486,39.06,128,0,691.277,128,4960.442,0,0
base,0,2,128,2,695.762,5656.382,39.06,128,0,691.085,128,4960.517,0,0
base,0,4,128,0,1385.32,13543.86,95.737,128,0,1380.339,128,12158.251,0,0
base,0,4,128,0,1384.988,13543.61,95.737,128,0,1380.004,128,12158.338,0,0
base,0,4,128,0,1385.153,13543.77,95.737,128,0,1380.171,128,12158.298,0,0
base,0,4,128,0,1385.582,13543.997,95.736,128,0,1380.53,128,12158.169,0,0
base,0,4,128,1,1405.97,11474.891,79.283,128,0,1396.841,128,10068.794,0,0
base,0,4,128,1,1406.193,11475.063,79.282,128,0,1397.002,128,10068.751,0,0
base,0,4,128,1,1406.413,11475.202,79.282,128,0,1397.169,128,10068.695,0,0
base,0,4,128,1,1405.889,11474.778,79.283,128,0,1396.669,128,10068.845,0,0
base,0,4,128,2,1398.383,13556.208,95.731,128,0,1388.767,128,12157.856,0,0
base,0,4,128,2,1398.728,13556.421,95.73,128,0,1389.217,128,12157.653,0,0
base,0,4,128,2,1398.952,13556.592,95.729,128,0,1389.415,128,12157.594,0,0
base,0,4,128,2,1398.508,13556.273,95.73,128,0,1389.006,128,12157.734,0,0
base,0,8,128,0,2783.21,26990.978,190.612,128,0,2772.046,128,24207.667,0,0
base,0,8,128,0,2782.889,26990.727,190.613,128,0,2771.872,128,24207.743,0,0
base,0,8,128,0,2781.997,26990.169,190.616,128,0,2770.978,128,24208.09,0,0
base,0,8,128,0,2782.096,26990.199,190.615,128,0,2771.191,128,24207.996,0,0
base,0,8,128,0,2782.32,26990.531,190.616,128,0,2771.362,128,24207.92,0,0
base,0,8,128,0,2783.331,26991.005,190.612,128,0,2772.21,128,24207.597,0,0
base,0,8,128,0,2782.397,26990.434,190.614,128,0,2771.551,128,24207.845,0,0
base,0,8,128,0,2782.829,26990.768,190.614,128,0,2771.704,128,24207.799,0,0
base,0,8,128,1,2797.082,27006.59,190.626,128,0,2770.725,128,24209.425,0,0
base,0,8,128,1,2796.769,27006.381,190.627,128,0,2770.572,128,24209.503,0,0
base,0,8,128,1,2797.853,27006.963,190.623,128,0,2771.596,128,24209.037,0,0
base,0,8,128,1,2797.361,27006.683,190.625,128,0,2771.091,128,24209.276,0,0
base,0,8,128,1,2797.251,27006.703,190.626,128,0,2770.904,128,24209.355,0,0
base,0,8,128,1,2797.876,27007.076,190.624,128,0,2771.458,128,24209.113,0,0
base,0,8,128,1,2796.65,27006.25,190.627,128,0,2770.412,128,24209.545,0,0
base,0,8,128,1,2797.819,27007.017,190.624,128,0,2771.274,128,24209.197,0,0
base,0,8,128,2,2796.992,27003.837,190.605,128,0,2769.838,128,24206.714,0,0
base,0,8,128,2,2798.063,27004.425,190.601,128,0,2770.821,128,24206.299,0,0
base,0,8,128,2,2797.166,27003.924,190.604,128,0,2770.041,128,24206.62,0,0
base,0,8,128,2,2798.059,27004.397,190.601,128,0,2771.012,128,24206.21,0,0
base,0,8,128,2,2797.755,27004.235,190.602,128,0,2770.613,128,24206.399,0,0
base,0,8,128,2,2796.856,27003.753,190.605,128,0,2769.629,128,24206.8,0,0
base,0,8,128,2,2797.345,27003.963,190.603,128,0,2770.232,128,24206.536,0,0
base,0,8,128,2,2797.608,27004.16,190.603,128,0,2770.422,128,24206.478,0,0
base,0,1,512,0,1415.302,4213.276,22.031,512,0,1385.294,128,2798.028,0,0
base,0,1,512,1,1397.718,4193.09,22.011,512,0,1387.798,128,2795.391,0,0
base,0,1,512,2,1402.347,4197.72,22.011,512,0,1392.735,128,2795.403,0,0
base,0,2,512,0,2786.852,7800.81,39.48,512,0,2777.174,128,5013.993,0,0
base,0,2,512,0,2786.949,7800.911,39.48,512,0,2777.335,128,5013.928,0,0
base,0,2,512,1,2838.451,7854.489,39.496,512,0,2820.895,128,5016.072,0,0
base,0,2,512,1,2838.601,7854.632,39.496,512,0,2821.083,128,5015.983,0,0
base,0,2,512,2,2861.145,8615.941,45.313,512,0,2845.116,128,5754.742,0,0
base,0,2,512,2,2861.044,8615.769,45.313,512,0,2844.972,128,5754.811,0,0
base,0,4,512,0,5749.269,18027.552,96.679,512,0,5728.818,128,12278.246,0,0
base,0,4,512,0,5748.642,18027.102,96.681,512,0,5728.366,128,12278.487,0,0
base,0,4,512,0,5748.771,18027.286,96.681,512,0,5728.526,128,12278.404,0,0
base,0,4,512,0,5749.106,18027.437,96.68,512,0,5728.66,128,12278.338,0,0
base,0,4,512,1,5775.329,16165.554,81.813,512,0,5744.799,128,10390.186,0,0
base,0,4,512,1,5775.552,16165.661,81.812,512,0,5744.955,128,10390.096,0,0
base,0,4,512,1,5775.125,16165.405,81.813,512,0,5744.645,128,10390.268,0,0
base,0,4,512,1,5775.012,16165.365,81.814,512,0,5744.488,128,10390.346,0,0
base,0,4,512,2,5782.851,18058.418,96.658,512,0,5749.8,128,12275.486,0,0
base,0,4,512,2,5783.065,18058.481,96.657,512,0,5749.966,128,12275.39,0,0
base,0,4,512,2,5782.73,18058.271,96.658,512,0,5749.647,128,12275.556,0,0
base,0,4,512,2,5783.342,18058.748,96.657,512,0,5750.104,128,12275.318,0,0
base,0,8,512,0,11637.198,36058.568,192.294,512,0,5975.944,128,24421.126,0,0
base,0,8,512,0,11637.285,36058.6,192.294,512,0,5976.07,128,24421.073,0,0
base,0,8,512,0,5660.847,35958.902,238.567,512,0,5606.948,128,30297.904,0,0
base,0,8,512,0,5661.018,35958.986,238.567,512,0,5607.077,128,30297.834,0,0
base,0,8,512,0,11883.039,36082.191,190.544,512,0,6221.74,128,24198.971,0,0
base,0,8,512,0,5660.494,35958.654,238.568,512,0,5606.735,128,30298.093,0,0
base,0,8,512,0,11636.94,36058.261,192.294,512,0,5975.826,128,24421.15,0,0
base,0,8,512,0,5660.519,35958.593,238.568,512,0,5606.884,128,30297.988,0,0
base,0,8,512,1,5658.303,35851.733,237.744,512,0,5550.785,128,30193.194,0,0
base,0,8,512,1,11528.668,35950.019,192.294,512,0,5870.276,128,24421.178,0,0
base,0,8,512,1,5658.08,35851.554,237.744,512,0,5550.651,128,30193.247,0,0
base,0,8,512,1,5657.92,35851.295,237.743,512,0,5550.535,128,30193.277,0,0
base,0,8,512,1,11774.084,35973.414,190.546,512,0,6115.441,128,24199.124,0,0
base,0,8,512,1,11528.994,35950.314,192.294,512,0,5870.388,128,24421.124,0,0
base,0,8,512,1,5658.586,35851.919,237.743,512,0,5550.926,128,30193.12,0,0
base,0,8,512,1,11528.999,35950.399,192.294,512,0,5870.493,128,24421.162,0,0
base,0,8,512,2,12205.865,36644.383,192.429,512,0,6132.562,128,24438.397,0,0
base,0,8,512,2,12466.24,36668.033,190.565,512,0,6392.858,128,24201.66,0,0
base,0,8,512,2,6073.108,36545.939,239.944,512,0,5865.258,128,30472.721,0,0
base,0,8,512,2,6072.679,36545.618,239.944,512,0,5864.797,128,30472.89,0,0
base,0,8,512,2,6072.981,36545.955,239.945,512,0,5865.115,128,30472.771,0,0
base,0,8,512,2,12205.686,36644.324,192.43,512,0,6132.427,128,24438.472,0,0
base,0,8,512,2,6072.831,36545.735,239.944,512,0,5864.958,128,30472.818,0,0
base,0,8,512,2,12206.218,36644.65,192.429,512,0,6132.714,128,24438.314,0,0
base,0,1,2048,0,5826.646,8733.735,22.89,2048,0,5720.018,128,2907.221,0,0
base,0,1,2048,1,5858.766,8815.898,23.284,2048,0,5788.752,128,2957.188,0,0
base,0,1,2048,2,6358.705,9339.779,23.473,2048,0,6129.333,128,2981.131,0,0
base,0,2,2048,0,6237.543,17730.292,90.494,2048,0,6176.461,128,11492.792,0,0
base,0,2,2048,0,12346.123,17779.416,42.782,2048,0,6108.662,128,5433.132,0,0
base,0,2,2048,1,6233.354,17713.053,90.391,2048,0,6078.589,128,11479.825,0,0
base,0,2,2048,1,12317.119,17762.155,42.874,2048,0,6083.903,128,5444.999,0,0
base,0,2,2048,2,12323.65,18588.33,49.328,2048,0,6087.779,128,6264.61,0,0
base,0,2,2048,2,6236.015,18537.013,96.858,2048,0,6121.335,128,12301.102,0,0
base,0,4,2048,0,6533.685,37923.218,247.162,2048,0,6396.708,128,31389.554,0,0
base,0,4,2048,0,19163.969,38046.707,148.683,2048,0,12630.46,128,18882.549,0,0
base,0,4,2048,0,25407.201,38089.609,99.861,2048,0,12699.686,128,12682.303,0,0
base,0,4,2048,0,25567.911,38114.112,98.789,2048,0,6403.758,128,12546.124,0,0
base,0,4,2048,1,18575.109,36497.492,141.121,2048,0,12342.64,128,17922.201,0,0
base,0,4,2048,1,24845.416,36544.553,92.119,2048,0,12464.243,128,11699.022,0,0
base,0,4,2048,1,6232.593,36360.944,237.231,2048,0,6023.501,128,30128.318,0,0
base,0,4,2048,1,24995.807,36570.791,91.142,2048,0,6420.518,128,11574.906,0,0
base,0,4,2048,2,19086.416,38200.066,150.501,2048,0,12498.211,128,19113.57,0,0
base,0,4,2048,2,25430.501,38244.141,100.895,2048,0,12609.981,128,12813.569,0,0
base,0,4,2048,2,25595.79,38268.624,99.786,2048,0,6509.224,128,12672.738,0,0
base,0,4,2048,2,6588.812,38074.454,247.918,2048,0,6357.864,128,31486.252,0,0
base,0,8,2048,0,51794.648,77099.683,199.252,2048,0,13148.829,128,25304.993,0,0
base,0,8,2048,0,32161.559,76888.469,352.18,2048,0,12899.678,128,44726.675,0,0
base,0,8,2048,0,52123.166,77125.953,196.872,2048,0,6931.575,128,25002.695,0,0
base,0,8,2048,0,38645.637,76992.176,301.941,2048,0,12995.398,128,38346.338,0,0
base,0,8,2048,0,25649.968,76744.418,402.319,2048,0,12725.215,128,51094.199,0,0
base,0,8,2048,0,45191.255,77055.746,250.902,2048,0,13029.291,128,31864.255,0,0
base,0,8,2048,0,6554.415,76220.508,548.552,2048,0,6269.738,128,69665.868,0,0
base,0,8,2048,0,19262.003,76597.009,451.457,2048,0,12707.495,128,57334.734,0,0
base,0,8,2048,1,38538.627,76343.42,297.676,2048,0,12881.079,128,37804.58,0,0
base,0,8,2048,1,44997.235,76407.032,247.321,2048,0,12892.006,128,31409.544,0,0
base,0,8,2048,1,51715.801,76476.066,194.963,2048,0,6718.243,128,24760.183,0,0
base,0,8,2048,1,51394.38,76451.004,197.296,2048,0,12855.489,128,25056.485,0,0
base,0,8,2048,1,32105.012,76241.372,347.53,2048,0,12823.218,128,44136.084,0,0
base,0,8,2048,1,6725.763,75588.117,542.223,2048,0,6248.797,128,68862.227,0,0
base,0,8,2048,1,19281.636,75958.392,446.274,2048,0,12555.88,128,56676.434,0,0
base,0,8,2048,1,25657.33,76101.725,397.2,2048,0,12658.124,128,50444.18,0,0
base,0,8,2048,2,6611.349,75564.746,542.94,2048,0,6123.971,128,68953.356,0,0
base,0,8,2048,2,51664.229,76480.19,195.401,2048,0,7020.395,128,24815.835,0,0
base,0,8,2048,2,25241.959,76094.384,400.413,2048,0,12433.265,128,50852.169,0,0
base,0,8,2048,2,38003.676,76346.644,301.913,2048,0,12761.517,128,38342.754,0,0
base,0,8,2048,2,44643.72,76412.046,250.144,2048,0,13039.29,128,31768.238,0,0
base,0,8,2048,2,51343.294,76455.87,197.737,2048,0,13339.236,128,25112.504,0,0
base,0,8,2048,2,18991.989,75946.522,448.461,2048,0,12380.912,128,56954.246,0,0
base,0,8,2048,2,31604.311,76241.022,351.47,2048,0,12612.048,128,44636.505,0,0
draft,0,1,128,0,52.986,651.541,4.713,128,0,52.483,128,598.64,0,0
draft,0,1,128,1,53.245,654.862,4.737,128,0,52.248,128,601.671,0,0
draft,0,1,128,2,53.238,652.161,4.716,128,0,52.343,128,598.993,0,0
speculative,2,1,128,0,356.261,6334.306,47.071,128,0,353.827,128,5978.081,154,48
speculative,2,1,128,1,355.557,6237.524,46.315,128,0,352.112,128,5881.96,148,52
speculative,2,1,128,2,370.757,6217.888,46.04,128,0,367.25,128,5847.063,142,55
speculative,4,1,128,0,357.513,12823.289,98.156,128,0,355.287,128,12465.684,296,49
speculative,4,1,128,1,359.16,13485.427,103.356,128,0,355.7,128,13126.277,312,45
speculative,4,1,128,2,357.938,11424.474,87.138,128,0,353.74,128,11066.556,264,59
speculative,8,1,128,0,358.028,12377.182,94.639,128,0,354.825,128,12019.147,576,47
speculative,8,1,128,1,357.167,11411.082,87.039,128,0,353.706,128,11053.902,528,53
speculative,8,1,128,2,358.492,12867.903,98.499,128,0,354.759,128,12509.325,600,44
